ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,key,pcode_ch,nom_fichier,pcode_fichier,prov_fichier,ch_p3_pct_max_2024_2026,asi_2024,asi_2025,asi_2026,asi_max_2024_2026,asi_raw_max_2024_2026,bio_2024,bio_2025,bio_2026,bio_min_2024_2026,bio_raw_min_2024_2026,asi_trend_pts_per_yr,bio_trend_pct_per_yr,bio_baseline_kgha,asi_unit_fao,population_ch_2026,ch_p3_pct_cur_2026,ch_p3_pct_proj_2026,ch_p3_pop_proj_2026,ch_phase_max_2024_2026,ch_n_analyses,score_ch,score_asi,score_bio,zone_saharienne,indice_secheresse,rang,categorie,indicateur_secheresse,zone_aa,notes
Kanem,TD06,Kanem,TD0601,kanem,TCD0601,Kanem,TCD0601,KANEM,42.00000771846141,12.940847985348094,14.280115824175716,17.365097948717622,17.365097948717622,2.3537142857142856,129.43570448518753,78.62022490648835,25.50696313154701,25.50696313154701,35.88328513882841,-1.035267838827839,2.805541414729192,376.4489891738782,Kanem,277934.0,22.0,28.000000000000004,77821.52,3.0,8.0,1.0,0.4341274487179405,1.0,Non,0.8302382346153823,1,Très élevé,1,Oui,
Kanem,TD06,Nord Kanem,TD0602,nordkanem,TCD0602,Nord Kanem,TCD0602,KANEM,39.00051988562516,13.05363367121407,14.374989294293515,17.743509222742393,17.743509222742393,2.60129416413408,252.5393241303866,107.84750086989496,15.784634696868752,15.784634696868752,30.424090408001874,-1.0442906936971024,6.396205263152736,42.94218534214744,Kanem,165054.0,25.0,30.0,49516.2,3.0,8.0,0.9666839961875052,0.4435877305685598,1.0,Non,0.81974991764557,2,Très élevé,1,Oui,
Lac,TD07,Wayi,TD0702,wayi,TCD0702,Wayi,TCD0702,LAC,43.99991030208575,11.993257119310613,13.246710338674829,16.228074992959517,16.228074992959517,2.353474889237593,119.87110438702324,107.44299679935972,52.30625107367093,52.30625107367093,65.6991025144381,-0.9568689726704716,1.7658404263164735,817.8230631185897,Kanem,382657.0,13.0,22.000000000000004,84184.54000000001,3.0,8.0,1.0,0.4057018748239879,0.9538749785265814,Non,0.8078730560051708,3,Très élevé,1,Oui,
Ouaddaï,TD14,Ouara,TD1401,ouara,TCD1401,Ouara,TCD1401,OUADDAÏ,33.999933999934,13.43967040598281,11.059831895604267,17.735832670940013,17.735832670940013,7.4025,118.93492552575388,127.98141861065608,46.04497485696657,46.04497485696657,49.74661354814794,-0.7126436324786324,0.5544262490555081,1140.6651511161858,Ouaddai,596323.0,21.0,24.0,143117.52,3.0,8.0,0.7999977999978001,0.4433958167735003,1.0,Non,0.7530178650311701,4,Très élevé,1,Oui,
Barh-El-Gazel,TD19,Barh-El-Gazel Nord,TD1902,barhelgazelnord,TCD1902,Barh El Gazel Nord,TCD1902,BARH EL GAZEL,30.00057307684961,14.213792429792289,15.35089582417559,21.635999218559345,21.635999218559345,5.148000000000001,166.87505790500748,116.3812724351238,35.22660074816106,35.22660074816106,51.55061550662571,-1.1371033943833944,3.1958636296525973,143.19136635496795,Barl El Gazal,112300.0,10.0,22.0,24706.0,3.0,8.0,0.6666857692283202,0.5408999804639836,1.0,Non,0.7289443018305232,5,Très élevé,1,Oui,Orthographe fichier HNRP : Barh El Gazel Nord
Batha,TD01,Batha Ouest,TD0101,bathaouest,TCD0101,Batha Ouest,TCD0101,BATHA,31.0,13.806048229547969,14.881063516483602,19.800935946275924,19.800935946275924,3.817571428571429,125.59804433323018,129.81942972166104,45.84173793433463,45.84173793433463,57.52866957139246,-1.1023010012210013,1.7582127590120484,555.6095987772437,Batha Ouest,358744.0,24.999999999999996,31.0,111210.64,3.0,8.0,0.7,0.4950233986568981,1.0,Non,0.7285070195970693,6,Très élevé,1,Oui,
Lac,TD07,Mamdi,TD0701,mamdi,TCD0701,Mamdi,TCD0701,LAC,43.000195542883816,3.3404431740217744,4.3476765695367625,8.869377031710494,8.869377031710494,5.782153260399391,95.80300923505754,100.06616245165335,56.76799100344545,56.76799100344545,58.54463490525912,-0.2129119842283542,0.2158384742466643,1299.0748823197118,Lac,230533.65,13.0,22.000000000000004,50717.403000000006,3.0,8.0,1.0,0.2217344257927623,0.864640179931091,Non,0.725912381717156,7,Très élevé,1,Oui,
Sila,TD21,Kimiti,TD2101,kimiti,TCD2101,Kimiti,TCD2101,SILA,28.000014926375655,17.528328584995364,25.5050215384615,35.702825603038974,35.702825603038974,21.747,100.3335950488884,104.4975328668614,66.70694681947556,66.70694681947556,67.9721497255423,-0.9624707312440648,0.1308040271552572,2656.824870523237,Sila,555109.0,21.0,23.0,127675.07,3.0,8.0,0.6000004975458552,0.8925706400759743,0.6658610636104888,Non,0.707529710124281,8,Très élevé,1,Oui,
Lac,TD07,Kaya,TD0703,kaya,TCD0703,Kaya,TCD0703,LAC,35.0,2.744113010446334,3.7307220512820463,8.341664425451091,8.341664425451091,5.995111111111111,123.30944901138083,101.72061067036196,48.88087357742551,48.88087357742551,54.28424464983903,-0.1618312630579297,0.7623560169517914,1243.4505641322114,Lac,80889.0,30.0,35.0,28311.15,3.0,8.0,0.8333333333333334,0.2085416106362772,1.0,Non,0.6958958165242166,9,Très élevé,1,Oui,
Wadi Fira,TD17,Kobé,TD1703,kobe,TCD1703,Kobé,TCD1703,WADI FIRA,31.000194887177273,11.429069088318975,12.722227948717864,14.391386809116756,14.391386809116756,1.1336666666666666,204.8697986810576,138.18428201482487,37.42693930579205,37.42693930579205,50.741973798738805,-0.914325527065527,2.453522136528965,470.7614911209935,Biltine,253172.0,11.0,21.000000000000004,53166.12,3.0,8.0,0.7000064962392424,0.3597846702279189,1.0,Non,0.6879379995640726,10,Très élevé,1,Oui,
